44,90,0,0,24,81,22,255
159,250,140,176,121,183,138,255
167,158,172,134,172,161,118,255
130,178,136,120,135,121,86,255
34,112,142,112,163,159,43,255
63,28,145,126,190,165,66,255
88,214,157,140,205,174,128,255
185,203,170,110,211,138,126,255
140,255,110,136,133,156,131,255
73,90,164,118,75,121,111,255
16,93,187,88,162,101,27,255
31,110,120,77,166,101,45,255
183,181,155,175,135,211,185,255
129,193,104,159,184,183,161,255
190,183,143,124,139,138,145,255
79,113,115,111,164,101,88,255
213,213,149,159,133,199,183,255
13,94,127,146,132,150,89,255
103,175,164,139,187,147,128,255
42,82,104,83,167,50,71,255
26,90,109,143,135,220,106,255
69,90,101,180,125,222,108,255
143,225,125,147,196,197,121,255
73,87,125,29,8,87,67,255
100,136,254,119,170,140,77,255
110,136,101,137,186,174,126,255
165,143,179,151,167,156,147,255
182,207,131,105,130,101,124,255
34,51,194,94,90,94,58,255
108,85,116,25,24,0,59,255
18,70,110,118,179,138,50,255
35,165,120,72,126,72,82,255
72,99,85,76,210,101,56,255
27,85,85,109,122,133,54,255
149,166,176,111,135,115,98,255
138,180,136,131,255,139,84,255
120,97,115,96,110,128,44,255
183,181,183,152,119,174,148,255
38,113,125,67,88,26,68,255
180,188,169,137,188,124,145,255
86,87,80,72,76,73,71,255
219,224,155,165,197,252,218,255
31,65,145,38,112,32,78,255
21,134,48,83,94,78,111,255
111,62,128,89,163,209,65,255
224,206,128,155,167,170,150,255
231,225,139,174,149,202,208,255
140,146,106,124,192,142,104,255
116,191,196,136,192,170,108,255
43,136,131,58,44,50,118,255
39,76,130,63,71,62,39,255
103,166,170,115,236,131,75,255
83,148,206,120,142,156,102,255
73,41,150,63,123,78,51,255
159,136,93,153,140,149,198,255
14,77,160,67,68,72,56,255
37,70,131,53,72,46,37,255
225,171,136,148,136,161,188,255
64,177,76,69,92,92,84,255
44,54,166,93,158,101,59,255
153,170,150,125,152,171,166,255
86,155,136,41,36,131,63,255
138,160,104,119,149,124,100,255
19,56,140,139,217,161,51,255
